Title,Rank of Highest Grossing Movies
Avatar,1
Avengers: Endgame,2
Titanic,3
Star Wars: The Force Awakens,4
Avengers: Infinity War,5
Spider-Man: No Way Home,6
Jurassic World,7
The Lion King,8
The Avengers,9
Furious 7,10
Frozen II,11
Avengers: Age of Ultron,12
Black Panther,13
Harry Potter and the Deathly Hallows – Part 2,14
Star Wars: The Last Jedi,15
Jurassic World: Fallen Kingdom,16
Frozen,17
Beauty and the Beast,18
Incredibles 2,19
The Fate of the Furious,20
Iron Man 3,21
Minions,22
Captain America: Civil War,23
Aquaman,24
The Lord of the Rings: The Return of the King,25
Spider-Man: Far From Home,26
Captain Marvel,27
Transformers: Dark of the Moon,28
Skyfall,29
Transformers: Age of Extinction,30
The Dark Knight Rises,31
Joker,32
Star Wars: The Rise of Skywalker,33
Toy Story 4,34
Toy Story 3,35
Pirates of the Caribbean: Dead Man's Chest,36
Rogue One: A Star Wars Story,37
Aladdin,38
Pirates of the Caribbean: On Stranger Tides,39
Despicable Me 3,40
Jurassic Park,41
Finding Dory,42
Star Wars: Episode I – The Phantom Menace,43
Alice in Wonderland,44
Zootopia,45
The Hobbit: An Unexpected Journey,46
Harry Potter and the Philosopher's Stone,47
The Dark Knight,48
Harry Potter and the Deathly Hallows – Part 1,49
Despicable Me 2,50
